id;title;description;price;old_price;level;status;thumbnail_url;video_preview_url;rejection_reason;created_at;updated_at;published_at
1;list including;../fake-data/blob/hipster.txt;12776.02;20322.42;BEGINNER;PENDING;self-assured boo;while signature;massive director aw;2026-02-02T04:26:28;2026-02-02T12:29:55;2026-02-02T14:42:40
2;robust fen;../fake-data/blob/hipster.txt;28275.03;18618.28;ADVANCED;PENDING;firsthand vast;before behold;frivolous hairy;2026-02-02T12:51:37;2026-02-02T06:41:30;2026-02-02T06:48:40
3;ick scare wry;../fake-data/blob/hipster.txt;24573.95;32320.36;BEGINNER;REJECTED;er kinase;disrespect;boo uh-huh governance;2026-02-02T10:32:43;2026-02-02T06:47:35;2026-02-02T06:45:26
4;lumbering robust;../fake-data/blob/hipster.txt;8017;17307.86;BEGINNER;REJECTED;trust why;submissive produce;legal;2026-02-02T11:43:54;2026-02-02T09:24:37;2026-02-02T15:08:12
5;mouser now;../fake-data/blob/hipster.txt;27958.68;21662.55;ADVANCED;PENDING;progress around while;yowza aw ditch;concrete whoever wherever;2026-02-01T17:43:21;2026-02-02T08:22:16;2026-02-02T01:08:49
6;draft ferret brr;../fake-data/blob/hipster.txt;1818.59;20310.5;INTERMEDIATE;REJECTED;huzzah freckle;evince unnaturally detain;cautious ha welcome;2026-02-01T18:37:18;2026-02-02T06:53:05;2026-02-02T03:57:24
7;geez;../fake-data/blob/hipster.txt;1162.5;24124.42;INTERMEDIATE;APPROVED;yawningly corny;unlined till;gerbil plastic needily;2026-02-02T03:08:04;2026-02-02T06:43:29;2026-02-02T07:12:01
8;smoke;../fake-data/blob/hipster.txt;3010.19;7645.7;BEGINNER;REJECTED;that essence;arrogantly modulo wearily;twine fully unusual;2026-02-01T21:56:47;2026-02-01T23:08:43;2026-02-01T17:49:51
9;yowza black-and-white for;../fake-data/blob/hipster.txt;11763.03;29762.19;ADVANCED;REJECTED;inasmuch during;agreeable put creator;even yearly ha;2026-02-01T20:20:15;2026-02-01T20:50:51;2026-02-02T05:03:40
10;about lender an;../fake-data/blob/hipster.txt;16553;30324.93;ADVANCED;PUBLISHED;downchange;mmm;vaguely;2026-02-02T03:26:26;2026-02-02T15:17:44;2026-02-02T01:53:36
