id;enrolled_at;completed_at;status
1;2026-02-01T20:43:12;2026-02-02T13:38:45;publicize
2;2026-02-01T20:38:31;2026-02-01T21:48:29;lively what but
3;2026-02-01T22:31:38;2026-02-02T02:59:10;tremendously haul
4;2026-02-02T00:12:07;2026-02-02T11:27:45;but
5;2026-02-02T10:46:13;2026-02-02T02:01:44;while
6;2026-02-02T01:36:51;2026-02-02T15:34:29;amidst eminent
7;2026-02-01T19:36:57;2026-02-01T21:38:42;a regarding which
8;2026-02-01T23:34:27;2026-02-02T08:39:53;seriously
9;2026-02-02T12:23:53;2026-02-02T02:28:09;arrange mom sedately
10;2026-02-01T20:58:02;2026-02-01T20:52:55;individual sturdy
