id;total_amount;status;created_at;payment_method;transaction_id
1;20869.93;FAILED;2026-02-01T17:30:15;welcome eek;fuzzy cross-contamination expatiate
2;16376.62;REFUNDED;2026-02-02T02:24:41;sauerkraut;while insistent
3;2875.11;COMPLETED;2026-02-01T21:06:52;onto fooey chainstay;underneath
4;10474.88;FAILED;2026-02-02T14:49:04;harangue barring among;oblong shovel for
5;4633.34;PENDING;2026-02-02T13:26:01;repurpose;bathrobe after
6;5964.33;FAILED;2026-02-02T16:46:15;while;of fooey
7;16450.25;REFUNDED;2026-02-01T20:27:28;ouch;highlight
8;22376.45;PENDING;2026-02-02T07:19:41;judgementally;beside
9;21731.57;REFUNDED;2026-02-02T09:45:32;atop boohoo react;failing why shiny
10;28272.68;FAILED;2026-02-01T21:34:27;via;never
