id;title;type;order_index;duration_seconds;is_preview;video_url;caption_url;markdown_content;quiz_config;code_challenge_config
1;noxious;QUIZ;30274;26283;true;institutionalize petticoat;shrill intently foolhardy;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
2;jaggedly;VIDEO;22906;16693;false;another;oxidize;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
3;yahoo psst whether;QUIZ;25464;29879;true;ack co-producer gadzooks;near t-shirt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
4;confound reflecting communicate;VIDEO;350;6068;false;elegantly amid;blindly especially;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
5;around ashamed;TEXT;14991;4910;false;emphasize;section yum gah;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
6;finally;VIDEO;12348;1986;false;watery powerful detain;that whose;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
7;ew;VIDEO;3630;13894;false;with following chatter;private into a;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
8;cantaloupe uh-huh mockingly;QUIZ;11116;8883;true;incidentally;observe revitalise;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
9;recovery long;QUIZ;30391;5982;false;paintwork;confused gee;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
10;gadzooks yowza;CODE;9405;20460;true;loyalty instead;able;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
