id;title;description;price;old_price;level;status;thumbnail_url;video_preview_url;instructor_id;rejection_reason;created_at;updated_at;published_at
1;lest if row;../fake-data/blob/hipster.txt;21657.64;2406.08;ADVANCED;PENDING;negative incidentally;astride;10593;vein which ha;2026-02-02T14:55:03;2026-02-01T23:08:27;2026-02-01T17:20:09
2;fortunately easily;../fake-data/blob/hipster.txt;11326.19;18849.49;BEGINNER;REJECTED;definite frequent honorable;very;32363;ew catalyst whoever;2026-02-01T23:56:16;2026-02-02T02:28:33;2026-02-01T19:21:23
3;big;../fake-data/blob/hipster.txt;15720.54;23968.53;INTERMEDIATE;PUBLISHED;wombat;drowse until ugh;12255;brr modulo ack;2026-02-02T09:55:28;2026-02-02T10:23:39;2026-02-02T06:53:57
4;creative insistent powerfully;../fake-data/blob/hipster.txt;31579.9;26402.74;INTERMEDIATE;DRAFT;roughly overdub stage;apud scoop;9091;vicinity;2026-02-02T05:08:55;2026-02-01T21:54:11;2026-02-02T06:38:39
5;though while embarrassment;../fake-data/blob/hipster.txt;8226.11;9430.5;ADVANCED;PUBLISHED;broadly joshingly zen;huzzah anneal breed;8026;yippee a;2026-02-02T01:36:42;2026-02-02T08:50:58;2026-02-02T07:20:33
6;recompense till of;../fake-data/blob/hipster.txt;29975.46;23862.85;ADVANCED;PENDING;warmly though kielbasa;tenderly hexagon home;25878;scout;2026-02-02T05:17:13;2026-02-02T01:18:56;2026-02-01T19:08:42
7;characterization subsidy;../fake-data/blob/hipster.txt;4483.5;19552.47;ADVANCED;PUBLISHED;like;scotch;13314;zowie someplace;2026-02-02T13:02:39;2026-02-01T22:47:42;2026-02-01T23:52:14
8;solicit where;../fake-data/blob/hipster.txt;31490.33;9638.48;BEGINNER;PUBLISHED;hydrocarbon pish;utterly schlep gosh;1163;commonly unearth furlough;2026-02-02T16:40:05;2026-02-01T22:09:57;2026-02-02T14:14:17
9;consequently abaft but;../fake-data/blob/hipster.txt;11289;16861.96;ADVANCED;REJECTED;scout through unless;cleaner scowl;9179;astride;2026-02-02T08:30:06;2026-02-02T05:40:04;2026-02-02T04:00:40
10;trek;../fake-data/blob/hipster.txt;20087.56;2243.97;INTERMEDIATE;PUBLISHED;for mostly meanwhile;gently abaft amend;26780;properly;2026-02-02T13:42:47;2026-02-02T05:24:10;2026-02-02T15:55:11
