id;title;type;order_index;duration_seconds;is_preview;video_url;caption_url;markdown_content;quiz_config;code_challenge_config
1;indeed incinerate;QUIZ;21520;22928;false;atop limply;charter whoa;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
2;unwieldy;QUIZ;393;10771;true;duh pile hopelessly;as;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
3;minus ack kiss;VIDEO;22242;27738;true;contravene;yum;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
4;quickly;CODE;8159;27189;true;deeply;during inside;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
5;whoever toward;TEXT;23849;26919;false;modulo beautifully;splurge restfully;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
6;save;CODE;31206;27135;true;replacement;writ when rapidly;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
7;internalize so;TEXT;16245;16789;false;ugh yet;boo;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
8;favorite;QUIZ;1934;5333;true;lucky yuck;turret;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
9;moist;VIDEO;18041;7144;false;enormously less;whether e-mail bah;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
10;demob;QUIZ;26506;1761;false;lender term hornet;narrate irritably cellar;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
